n,eph,per
112548,0.3077313,20.3512634
112548,0.3259727,21.4992048
112548,0.3989281,25.3880244
112548,0.3343379,19.4286121
112548,0.3433627,23.3507301
112548,0.3289761,20.2053677
112548,0.3329276,19.9215344
112548,0.6485596,25.4638067
112548,0.3316556,22.3244343
112548,0.3720524,22.8668123
112548,0.2933057,19.5768159
112548,0.280119,21.0226584
112548,0.3181385,25.8383249
146313,0.4953928,30.4087965
146313,0.4322605,26.3048623
146313,0.4112089,28.9189313
146313,1.0092206,35.0459586
146313,0.4809599,26.621857
146313,0.4015682,26.2507946
146313,0.8625646,31.5398639
146313,0.4851132,31.482782
146313,0.454007,28.9237786
146313,0.4588876,34.3018731
146313,0.4009231,24.3852603
146313,0.8905419,30.7088732
146313,0.8791039,34.9960084
146313,0.4562998,25.353236
146313,0.4522343,30.0703986
146313,0.3965512,33.7497306
146313,0.4620573,28.2179501
146313,0.3931206,27.8158835
146313,0.4601426,30.7800498
146313,0.4743646,25.4024878
190207,0.5835474,43.0643187
190207,0.5814719,41.5551663
190207,0.5895037,40.2971226
190207,0.5657739,34.2114193
190207,0.5194472,42.8326562
190207,0.5728448,36.7263169
190207,0.5726164,43.0104064
190207,0.6248724,36.4900989
190207,1.3605765,46.0229058
190207,0.5107644,37.1641771
190207,0.5939854,40.0333249
190207,0.5542639,37.7103091
190207,0.5813028,37.0822376
190207,0.5872677,43.2260539
190207,0.5411444,40.7383617
190207,0.6536543,36.8549093
190207,0.5012517,46.0280775
190207,0.6370482,35.6663977
190207,0.8668088,38.801081
190207,0.6060899,41.1176372
247270,0.8006686,55.0122981
247270,1.7556186,53.9104835
247270,1.6793635,74.1081156
247270,1.6785544,70.437083
247270,0.7697837,50.5353267
247270,0.8853557,52.4638642
247270,0.9284399,51.4617654
247270,0.7750181,58.9896029
247270,0.8280892,53.9657746
247270,0.8472737,53.6677937
247270,0.7960284,57.7588506
247270,0.7649192,60.1962583
247270,0.9333515,68.0593776
247270,0.7507708,60.2520896
247270,0.7961867,72.0847063
247270,0.8110578,61.2905981
247270,0.8125177,74.5315452
247270,0.9228393,50.3159113
247270,2.1600872,56.2618145
247270,1.8741931,64.0183585
321451,1.1437897,72.8075247
321451,1.0405037,104.4942198
321451,1.4525413,135.3992918
321451,1.6807093,110.0214747
321451,14.0616554,136.7099861
321451,4.9582266,121.749224
321451,3.6038529,139.4422381
321451,1.0600631,79.8964717
321451,1.3794617,119.8776485
321451,3.5522263,114.0016172
321451,1.4124301,119.4060818
321451,1.8329611,133.1042204
321451,1.0943534,104.8618789
321451,1.3840472,87.4229253
321451,2.9589267,85.6590976
321451,1.5234515,90.8972001
321451,1.746143,144.3000377
321451,6.2036424,151.6436894
321451,1.5292225,200.0435314
321451,3.2398005,126.925631
417887,1.3232814,155.052985
417887,7.8605361,201.0924171
417887,9.7410605,231.7334852
417887,36.0630133,183.3143033
417887,9.6018549,164.1318416
417887,9.4579937,162.7952316
417887,9.8142109,195.0655186
417887,14.4201174,278.3200261
417887,2.7169003,218.4249606
417887,23.215887,295.9459963
417887,33.4585514,178.9493117
417887,19.546728,228.8987168
417887,14.5627003,260.3336464
417887,12.2552209,213.5027601
417887,5.5935747,183.8639158
417887,6.4088966,173.0490196
417887,5.8861317,158.9674234
417887,6.8443558,164.6884702
417887,7.3727959,153.1753815
417887,11.9590805,179.681118
543254,6.6390196,501.5460978
543254,10.7219445,580.6236052
543254,18.7203471,699.3234937
543254,12.1421249,598.0397591
543254,12.5213273,506.1145698
543254,13.0806506,532.1664284
543254,12.2723172,566.8917538
543254,10.8371527,571.0130128
543254,12.4977523,660.5499071
543254,13.2142647,771.448196
543254,12.4798858,796.3739647
543254,12.9518797,527.291954
