seed,version,eph,per
0,17935,1.9771e-3,1.84846e-2
0,17935,2.2731e-3,1.85494e-2
0,17935,1.9423e-3,1.78079e-2
0,17935,1.8907e-3,1.89575e-2
0,17935,2.0544e-3,1.8443e-2
0,17935,2.1644e-3,1.86801e-2
0,17935,2.0911e-3,1.78874e-2
0,23316,2.078e-3,2.41312e-2
0,23316,2.1021e-3,2.8745e-2
0,23316,2.89e-3,4.41947e-2
0,23316,2.4875e-3,2.28965e-2
0,23316,2.0402e-3,2.34094e-2
0,23316,2.2141e-3,2.56487e-2
0,23316,3.5878e-3,3.52377e-2
0,23316,2.479e-3,2.64767e-2
0,23316,2.4724e-3,2.60337e-2
0,23316,3.0489e-3,2.65284e-2
0,23316,2.1163e-3,2.29657e-2
0,23316,2.9077e-3,4.70501e-2
0,23316,2.5262e-3,2.24789e-2
0,23316,2.0237e-3,4.30305e-2
0,23316,3.1565e-3,2.67096e-2
0,23316,2.3568e-3,2.3709e-2
0,23316,2.0691e-3,2.30072e-2
0,23316,2.168e-3,2.29377e-2
0,23316,2.1199e-3,2.35836e-2
0,23316,2.1364e-3,2.27946e-2
0,30311,1.9564e-3,2.98793e-2
0,30311,2.3971e-3,3.29598e-2
0,30311,5.5049e-3,6.60138e-2
0,30311,3.6994e-3,3.23133e-2
0,30311,2.2989e-3,2.93477e-2
0,30311,2.3444e-3,3.03592e-2
0,30311,2.4964e-3,2.99311e-2
0,30311,2.5005e-3,3.09231e-2
0,30311,2.3827e-3,3.02074e-2
0,30311,2.3715e-3,2.97828e-2
0,30311,2.4242e-3,2.9611e-2
0,30311,2.3796e-3,2.98912e-2
0,30311,2.6836e-3,3.09267e-2
0,30311,2.6099e-3,3.12482e-2
0,30311,2.6847e-3,3.05348e-2
0,30311,2.8086e-3,3.07261e-2
0,30311,2.3721e-3,3.06403e-2
0,30311,2.3183e-3,5.58818e-2
0,30311,3.6185e-3,5.22431e-2
0,30311,4.6659e-3,5.56517e-2
0,39405,3.4115e-3,3.80307e-2
0,39405,3.4831e-3,4.97533e-2
0,39405,6.8789e-3,5.19155e-2
0,39405,3.3734e-3,3.92793e-2
0,39405,3.5723e-3,3.85857e-2
0,39405,3.3588e-3,4.01534e-2
0,39405,3.349e-3,6.41345e-2
0,39405,3.4449e-3,4.95323e-2
0,39405,3.6121e-3,3.77839e-2
0,39405,3.5853e-3,3.94908e-2
0,39405,3.242e-3,3.93596e-2
0,39405,3.4613e-3,4.28139e-2
0,39405,7.3708e-3,5.58636e-2
0,39405,3.2416e-3,3.83874e-2
0,39405,3.3087e-3,3.91974e-2
0,39405,3.5689e-3,6.08902e-2
0,39405,3.5911e-3,3.83049e-2
0,39405,5.5168e-3,4.75259e-2
0,39405,3.2457e-3,6.33004e-2
0,39405,3.2799e-3,3.84108e-2
0,51227,5.078e-3,5.0355e-2
0,51227,4.4833e-3,7.54274e-2
0,51227,4.6962e-3,4.95068e-2
0,51227,4.4876e-3,5.12626e-2
0,51227,4.5771e-3,5.70425e-2
0,51227,9.8879e-3,6.22601e-2
0,51227,4.7161e-3,4.87271e-2
0,51227,4.6449e-3,4.93458e-2
0,51227,4.5417e-3,5.10083e-2
0,51227,4.5222e-3,4.92984e-2
0,51227,4.6001e-3,5.42572e-2
0,51227,7.7282e-3,5.4898e-2
0,51227,4.446e-3,9.0442e-2
0,51227,4.6621e-3,8.12957e-2
0,51227,4.7187e-3,4.93882e-2
0,51227,4.2717e-3,4.93222e-2
0,51227,4.5715e-3,5.06851e-2
0,51227,5.7262e-3,5.0394e-2
0,51227,4.6345e-3,7.45729e-2
0,51227,5.7101e-3,5.00124e-2
0,66596,6.4301e-3,6.37005e-2
