seed,n,eph,per
5,10000,8.71619e-2,1.884179
5,10000,9.82197e-2,1.9484465
5,10000,6.99431e-2,1.7929873
5,10000,9.5274e-2,2.0651513
6,10000,4.56279e-2,1.9678242
6,10000,4.57918e-2,1.7385037
6,10000,4.72459e-2,1.8381459
6,10000,4.73661e-2,1.6465593
6,10000,9.152e-2,2.0045704
6,10000,4.64185e-2,1.8484175
6,10000,9.86701e-2,1.8996075
6,10000,4.93775e-2,1.8302007
6,10000,6.67813e-2,1.8432263
6,10000,5.0494e-2,1.9282368
7,10000,0.1020058,1.9015411
7,10000,8.51728e-2,1.9636515
7,10000,0.1068059,1.9817672
7,10000,0.1082116,1.9567372
7,10000,8.75141e-2,1.9504705
7,10000,7.43987e-2,2.0064827
7,10000,7.4236e-2,1.9319632
7,10000,0.1170173,2.0794673
7,10000,0.1375011,1.954259
7,10000,0.1222025,1.8764647
8,10000,0.1061709,1.7594531
8,10000,0.1063008,1.6725992
8,10000,0.1134148,1.87253
8,10000,6.01892e-2,1.926347
8,10000,6.68057e-2,1.8506747
8,10000,6.67347e-2,1.8523388
8,10000,4.66891e-2,2.0080966
8,10000,4.83269e-2,1.7298409
8,10000,6.91461e-2,1.8865209
8,10000,8.76965e-2,2.0207244
9,10000,5.3107e-2,2.0666317
9,10000,5.50373e-2,1.8955526
9,10000,4.98485e-2,1.9922229
9,10000,5.04421e-2,2.0395021
9,10000,5.09692e-2,1.980368
9,10000,0.1042927,1.9588151
9,10000,0.1006191,2.0020398
9,10000,7.86404e-2,2.0792714
9,10000,7.81003e-2,2.021139
9,10000,8.03959e-2,2.1861158
10,10000,0.102111,1.9250844
10,10000,0.1119366,1.9348731
10,10000,7.10856e-2,2.055909
10,10000,5.00142e-2,2.2031033
10,10000,8.90506e-2,1.6936515
10,10000,6.80627e-2,1.9914524
10,10000,5.62514e-2,2.2833147
10,10000,7.24914e-2,1.6489417
10,10000,0.1095282,2.0528316
10,10000,6.62236e-2,2.1962671
11,10000,4.74866e-2,2.0108649
11,10000,8.21082e-2,2.0816681
11,10000,7.8836e-2,1.8794533
11,10000,9.95893e-2,2.2074844
11,10000,9.08776e-2,2.0148997
11,10000,9.99791e-2,2.323278
11,10000,6.85467e-2,1.8317699
11,10000,9.1953e-2,2.0230736
11,10000,5.10036e-2,2.2789166
11,10000,6.93211e-2,1.8945027
12,10000,7.58265e-2,1.9782605
12,10000,8.74424e-2,2.1743681
12,10000,4.80529e-2,1.8275285
12,10000,8.41936e-2,1.7858835
12,10000,5.91165e-2,1.8189953
12,10000,5.09836e-2,1.918661
12,10000,4.63691e-2,1.8080306
12,10000,4.93307e-2,2.1545821
12,10000,5.0632e-2,1.8093328
12,10000,6.06124e-2,1.6471504
13,10000,7.08246e-2,2.1224549
13,10000,7.78451e-2,1.8248197
13,10000,4.90931e-2,1.8339747
13,10000,4.59719e-2,1.8555102
13,10000,9.32225e-2,1.6644626
13,10000,4.69953e-2,1.9006818
13,10000,8.96344e-2,1.9302751
