seed,n,time
10,500,0.1493367
10,500,0.1466857
11,500,4.36959e-2
11,500,4.26026e-2
11,500,5.94178e-2
11,500,5.0992e-2
11,500,6.04088e-2
11,500,4.07012e-2
11,500,4.18451e-2
11,500,4.13498e-2
11,500,4.09882e-2
11,500,6.05369e-2
12,500,8.94246e-2
12,500,0.1287945
12,500,0.1205579
12,500,0.1202148
12,500,0.1120243
12,500,8.7608e-2
12,500,8.9024e-2
12,500,0.1078603
12,500,8.95377e-2
12,500,9.09435e-2
13,500,8.03202e-2
13,500,5.33953e-2
13,500,5.62093e-2
13,500,5.51059e-2
13,500,5.45698e-2
13,500,8.28259e-2
13,500,8.05285e-2
13,500,8.2412e-2
13,500,7.61174e-2
13,500,5.84653e-2
14,500,7.10308e-2
14,500,7.19369e-2
14,500,7.16899e-2
14,500,0.1090147
14,500,9.07343e-2
14,500,0.1059351
14,500,7.06599e-2
14,500,0.1009056
14,500,7.12092e-2
14,500,7.06104e-2
15,500,7.436e-2
15,500,7.35966e-2
15,500,0.1136065
15,500,9.71693e-2
15,500,7.26058e-2
15,500,0.1017605
15,500,9.77141e-2
15,500,9.5897e-2
15,500,0.1025152
15,500,7.11226e-2
16,500,5.94944e-2
16,500,6.04131e-2
16,500,6.03308e-2
16,500,5.9978e-2
16,500,6.06766e-2
16,500,8.67984e-2
16,500,8.2043e-2
16,500,6.60761e-2
16,500,0.102529
16,500,6.87216e-2
17,500,0.6987615
17,500,0.7385325
17,500,0.676891
17,500,0.7226839
17,500,0.6878378
17,500,0.7942709
17,500,0.6782674
17,500,0.6973351
17,500,0.6832087
17,500,0.6771996
18,500,7.66143e-2
18,500,5.66199e-2
18,500,9.846e-2
18,500,8.74196e-2
18,500,6.80677e-2
18,500,9.42806e-2
18,500,6.63779e-2
18,500,8.46676e-2
18,500,5.86438e-2
18,500,5.8498e-2
19,500,7.69873e-2
19,500,3.9552e-2
19,500,3.96648e-2
19,500,8.0281e-2
19,500,4.74456e-2
19,500,3.87869e-2
19,500,3.86508e-2
19,500,3.81924e-2
19,500,3.94719e-2
19,500,3.96048e-2
20,500,5.66702e-2
20,500,3.21106e-2
20,500,2.84284e-2
20,500,2.86179e-2
20,500,5.19166e-2
20,500,3.73646e-2
20,500,2.95581e-2
20,500,2.93695e-2
20,500,3.05585e-2
20,500,2.94181e-2
21,500,8.16638e-2
21,500,5.80016e-2
21,500,5.87779e-2
21,500,5.61067e-2
21,500,5.80113e-2
21,500,5.47641e-2
21,500,8.28225e-2
21,500,8.20992e-2
21,500,5.33046e-2
21,500,5.48344e-2
22,500,0.1619871
22,500,0.1556729
22,500,0.1557193
22,500,0.2087611
22,500,0.1480206
22,500,0.1640609
22,500,0.1491291
22,500,0.1601345
22,500,0.1546777
22,500,0.1509444
23,500,0.1039209
23,500,0.1060773
23,500,0.1054961
23,500,0.1048451
23,500,0.1054875
23,500,0.1457328
23,500,0.1255023
23,500,0.1041509
