version,eph,per
7495,7.72e-5,4.924e-4
7495,7.03e-5,5.085e-4
7495,7.0e-5,5.166e-4
7495,6.96e-5,5.051e-4
7495,7.0e-5,5.061e-4
7495,6.8e-5,5.191e-4
7495,8.54e-5,5.08e-4
7495,7.96e-5,5.12e-4
7495,6.77e-5,5.409e-4
7495,7.14e-5,5.889e-4
7495,6.49e-5,5.745e-4
7495,1.031e-4,6.531e-4
7495,1.072e-4,7.711e-4
7495,9.87e-5,1.8068e-3
7495,7.53e-5,1.0574e-3
7495,5.47e-5,7.303e-4
7495,7.66e-5,5.345e-4
7495,8.98e-5,5.165e-4
7495,6.63e-5,5.259e-4
7495,5.24e-5,4.991e-4
8994,3.466e-4,1.1562e-3
8994,2.943e-4,7.052e-4
8994,3.677e-4,9.36e-4
8994,4.107e-4,1.2684e-3
8994,1.1955e-3,2.3951e-3
8994,6.41e-4,1.2411e-3
8994,5.844e-4,9.482e-4
8994,2.401e-4,8.371e-4
8994,1.951e-4,8.257e-4
8994,1.922e-4,7.708e-4
8994,1.891e-4,7.977e-4
8994,1.917e-4,7.897e-4
8994,2.666e-4,9.717e-4
8994,4.424e-4,1.4902e-3
8994,6.238e-4,2.3385e-3
8994,9.838e-4,1.2735e-3
8994,7.288e-4,1.1407e-3
8994,3.711e-4,8.583e-4
8994,2.568e-4,8.102e-4
8994,2.223e-4,7.635e-4
8994,1.909e-4,7.994e-4
8994,2.353e-4,7.69e-4
8994,5.233e-4,1.0968e-3
8994,6.793e-4,1.4302e-3
8994,1.077e-3,2.0756e-3
8994,6.384e-4,9.429e-4
8994,5.449e-4,6.893e-4
8994,1.999e-4,5.394e-4
8994,1.67e-4,5.006e-4
8994,1.657e-4,4.887e-4
