n,per,splits
409,116400,134
410,116656,134
411,116912,134
412,117168,134
413,117512,135
414,117768,135
415,118024,135
416,118280,135
417,118712,137
418,118968,137
419,119224,137
420,119480,137
421,119824,138
422,120080,138
423,120336,138
424,120592,138
425,120936,139
426,121192,139
427,121448,139
428,121704,139
429,122048,140
430,122304,140
431,122560,140
432,122816,140
433,123248,142
434,123504,142
435,123760,142
436,124016,142
437,124360,143
438,124616,143
439,124872,143
440,125128,143
441,125472,144
442,125728,144
443,125984,144
444,126240,144
445,126584,145
446,126840,145
447,127096,145
448,127352,145
449,127872,148
450,128128,148
451,128384,148
452,128640,148
453,128984,149
454,129240,149
455,129496,149
456,129752,149
457,130096,150
458,130352,150
459,130608,150
460,130864,150
461,131208,151
462,131464,151
463,131720,151
464,131976,151
465,132408,153
466,132664,153
467,132920,153
468,133176,153
469,133520,154
470,133776,154
471,134032,154
472,134288,154
473,134632,155
474,134888,155
475,135144,155
476,135400,155
477,135744,156
478,136000,156
479,136256,156
480,136512,156
481,136944,158
482,137200,158
483,137456,158
484,137712,158
485,138056,159
486,138312,159
487,138568,159
488,138824,159
489,139168,160
490,139424,160
491,139680,160
492,139936,160
493,140280,161
494,140536,161
495,140792,161
496,141048,161
497,141480,163
498,141736,163
499,141992,163
500,142248,163
501,142592,164
502,142848,164
503,143104,164
504,143360,164
505,143704,165
506,143960,165
507,144216,165
508,144472,165
509,144816,166
510,145072,166
511,145328,166
512,145584,166
513,146192,170
514,146448,170
515,146704,170
516,146960,170
517,147304,171
518,147560,171
519,147816,171
520,148072,171
521,148416,172
522,148672,172
523,148928,172
524,149184,172
525,149528,173
526,149784,173
527,150040,173
528,150296,173
529,150728,175
530,150984,175
531,151240,175
532,151496,175
533,151840,176
534,152096,176
535,152352,176
536,152608,176
537,152952,177
538,153208,177
539,153464,177
540,153720,177
541,154064,178
542,154320,178
543,154576,178
544,154832,178
545,155264,180
546,155520,180
547,155776,180
548,156032,180
549,156376,181
550,156632,181
551,156888,181
552,157144,181
553,157488,182
554,157744,182
555,158000,182
556,158256,182
557,158600,183
558,158856,183
559,159112,183
560,159368,183
561,159800,185
562,160056,185
563,160312,185
564,160568,185
565,160912,186
566,161168,186
567,161424,186
568,161680,186
569,162024,187
570,162280,187
571,162536,187
572,162792,187
573,163136,188
574,163392,188
575,163648,188
576,163904,188
577,164424,191
578,164680,191
579,164936,191
580,165192,191
581,165536,192
582,165792,192
583,166048,192
584,166304,192
585,166648,193
586,166904,193
587,167160,193
588,167416,193
589,167760,194
590,168016,194
591,168272,194
592,168528,194
593,168960,196
594,169216,196
595,169472,196
596,169728,196
597,170072,197
598,170328,197
599,170584,197
600,170840,197
601,171184,198
602,171440,198
603,171696,198
604,171952,198
605,172296,199
606,172552,199
607,172808,199
608,173064,199
609,173496,201
610,173752,201
611,174008,201
612,174264,201
613,174608,202
614,174864,202
615,175120,202
616,175376,202
617,175720,203
618,175976,203
619,176232,203
620,176488,203
621,176832,204
622,177088,204
623,177344,204
624,177600,204
625,178032,206
626,178288,206
627,178544,206
628,178800,206
629,179144,207
630,179400,207
631,179656,207
632,179912,207
633,180256,208
634,180512,208
635,180768,208
636,181024,208
637,181368,209
638,181624,209
639,181880,209
640,182136,209
641,182656,212
642,182912,212
643,183168,212
644,183424,212
645,183768,213
646,184024,213
647,184280,213
