n,time,splits
1858,5.1811e-2,617
1858,2.71252e-2,617
1858,2.96552e-2,617
1858,2.62342e-2,617
1858,5.36905e-2,617
1858,5.04628e-2,617
1858,3.68165e-2,617
1858,3.01556e-2,617
1858,3.16359e-2,617
1858,2.90804e-2,617
1858,2.98515e-2,617
1858,3.07783e-2,617
1858,3.19272e-2,617
1858,2.98616e-2,617
1858,3.14039e-2,617
1858,2.82149e-2,617
1858,4.73035e-2,617
1858,3.00073e-2,617
1858,2.84161e-2,617
1858,4.75265e-2,617
1858,3.32038e-2,617
1858,2.92227e-2,617
1858,3.02761e-2,617
1858,3.14272e-2,617
1858,2.87737e-2,617
1858,3.13784e-2,617
1858,5.0805e-2,617
1858,2.74924e-2,617
2416,0.2836739,801
2416,5.03453e-2,801
2416,7.12895e-2,801
2416,6.24794e-2,801
2416,3.9331e-2,801
2416,4.07856e-2,801
2416,3.97372e-2,801
2416,6.3381e-2,801
2416,7.70499e-2,801
2416,5.50296e-2,801
2416,4.25078e-2,801
2416,6.17305e-2,801
2416,4.03799e-2,801
2416,4.08833e-2,801
2416,8.25238e-2,801
2416,5.07254e-2,801
2416,4.12946e-2,801
2416,4.26975e-2,801
2416,6.74466e-2,801
2416,6.34556e-2,801
2416,4.54633e-2,801
2416,5.86035e-2,801
2416,5.0392e-2,801
2416,5.08216e-2,801
2416,5.01178e-2,801
2416,7.26572e-2,801
2416,6.04437e-2,801
2416,4.10809e-2,801
2416,6.50449e-2,801
2416,8.41555e-2,801
3141,0.251232,1045
3141,6.11381e-2,1045
3141,7.79391e-2,1045
3141,7.00235e-2,1045
3141,9.31082e-2,1045
3141,9.99986e-2,1045
3141,0.2294638,1045
3141,0.1280272,1045
3141,0.1435724,1045
3141,0.1886322,1045
3141,0.1620397,1045
3141,0.2148463,1045
3141,0.2011799,1045
3141,0.2379127,1045
3141,0.207831,1045
3141,0.174077,1045
3141,0.1989795,1045
3141,0.2494216,1045
3141,0.1913069,1045
3141,0.1827132,1045
3141,0.2061449,1045
3141,0.170484,1045
3141,0.2614391,1045
3141,0.2946481,1045
3141,0.2093557,1045
3141,0.3752597,1045
3141,0.2677899,1045
3141,0.2507873,1045
3141,0.1976733,1045
3141,0.1625922,1045
4084,0.9746453,1356
4084,9.85526e-2,1356
4084,9.47566e-2,1356
4084,8.51666e-2,1356
4084,0.1042409,1356
4084,0.1200073,1356
4084,0.3187983,1356
4084,0.2632925,1356
4084,0.2818087,1356
4084,0.2684015,1356
4084,0.2327122,1356
4084,0.2239559,1356
4084,0.2213683,1356
4084,0.3643889,1356
4084,0.3883893,1356
4084,0.26137,1356
4084,0.2392731,1356
4084,0.2925742,1356
4084,0.2684212,1356
4084,0.2667556,1356
4084,0.273873,1356
4084,0.2672387,1356
4084,0.2716948,1356
4084,0.2741991,1356
4084,0.2917494,1356
4084,0.3399677,1356
4084,0.2981664,1356
4084,0.3044563,1356
4084,0.2858055,1356
4084,0.2756334,1356
