seed,n,eph,per
20,10000,2.52139e-2,0.858244
20,10000,5.20582e-2,1.0374729
21,10000,2.52948e-2,0.9464717
21,10000,2.55188e-2,0.828453
21,10000,3.48247e-2,1.1316739
21,10000,2.43664e-2,0.9789959
21,10000,2.69631e-2,0.936128
21,10000,2.49968e-2,0.9072071
21,10000,4.58931e-2,0.9613044
21,10000,3.83905e-2,0.9715022
21,10000,3.5955e-2,0.9827019
21,10000,3.74926e-2,1.0967402
22,10000,2.77139e-2,0.9470464
22,10000,4.40541e-2,0.9194367
22,10000,2.48853e-2,1.0223336
22,10000,2.45676e-2,0.9232844
22,10000,2.43369e-2,0.9002755
22,10000,3.73072e-2,0.8918152
22,10000,2.42283e-2,0.9585424
22,10000,2.53758e-2,0.9704786
22,10000,2.47414e-2,1.0128639
22,10000,2.66303e-2,0.9942896
23,10000,4.06412e-2,1.1019808
23,10000,2.42888e-2,1.0047876
23,10000,5.76643e-2,1.0005446
23,10000,2.55272e-2,1.0716452
23,10000,2.81153e-2,1.1035195
23,10000,2.5118e-2,1.0299986
23,10000,2.61503e-2,1.022564
23,10000,2.65949e-2,1.2124922
23,10000,5.9024e-2,1.0363122
23,10000,2.84693e-2,1.1250969
24,10000,4.76857e-2,1.0952424
24,10000,2.44219e-2,0.967104
24,10000,2.76144e-2,1.5031274
24,10000,3.24491e-2,0.9272139
24,10000,2.77391e-2,1.1007958
24,10000,4.67378e-2,0.9616011
24,10000,4.01466e-2,1.2655384
24,10000,3.08199e-2,0.9864083
24,10000,4.0877e-2,1.1374502
24,10000,2.50182e-2,1.0016634
25,10000,3.81571e-2,1.0267909
25,10000,2.37436e-2,1.0805526
25,10000,2.51364e-2,0.7207681
25,10000,5.08651e-2,0.965957
25,10000,3.93422e-2,1.0182484
25,10000,2.22297e-2,0.9416768
25,10000,2.60944e-2,0.9852344
25,10000,6.2426e-2,0.9230955
25,10000,2.44819e-2,1.1141394
25,10000,2.64752e-2,0.7974209
26,10000,4.09459e-2,0.961596
26,10000,3.41744e-2,1.0330112
26,10000,2.88311e-2,1.0400276
26,10000,5.54989e-2,1.0236284
26,10000,4.14391e-2,1.0245633
26,10000,2.72699e-2,0.9568732
26,10000,5.53235e-2,1.1714446
26,10000,3.78051e-2,1.1110546
26,10000,2.61835e-2,1.1040111
26,10000,4.63353e-2,1.0179442
27,10000,5.07119e-2,0.9077023
27,10000,2.54526e-2,0.9362278
27,10000,5.8252e-2,0.9692019
27,10000,4.45943e-2,0.9834745
27,10000,3.62941e-2,0.9847982
27,10000,3.64994e-2,0.9595146
