seed,n,tem,per
27,179222,1812500000,8406250000
28,179222,1875000000,9671875000
29,179222,1312500000,7500000000
0,232989,1734375000,10875000000
1,232989,1859375000,11812500000
2,232989,2187500000,11328125000
3,232989,2015625000,9937500000
4,232989,2343750000,11046875000
5,232989,1546875000,8109375000
6,232989,2421875000,12109375000
7,232989,2125000000,10453125000
8,232989,2484375000,12203125000
9,232989,2171875000,9187500000
10,232989,2484375000,12000000000
11,232989,2171875000,9156250000
12,232989,2578125000,12953125000
13,232989,1546875000,9718750000
14,232989,2578125000,11875000000
15,232989,1890625000,13359375000
16,232989,1765625000,11703125000
17,232989,1750000000,12312500000
18,232989,2109375000,10515625000
19,232989,2281250000,10515625000
20,232989,2703125000,12609375000
21,232989,2234375000,9578125000
22,232989,2468750000,11828125000
23,232989,2421875000,11234375000
24,232989,2312500000,15203125000
25,232989,1500000000,11234375000
26,232989,2312500000,12812500000
27,232989,2171875000,9656250000
28,232989,2703125000,12218750000
29,232989,2281250000,12984375000
0,302886,2281250000,15593750000
1,302886,2968750000,13890625000
2,302886,3359375000,12468750000
3,302886,3562500000,15046875000
4,302886,2625000000,15265625000
5,302886,3281250000,14656250000
6,302886,3125000000,13234375000
7,302886,3468750000,14734375000
8,302886,3359375000,17734375000
9,302886,3187500000,12703125000
10,302886,3468750000,16890625000
11,302886,3046875000,12718750000
12,302886,3015625000,13140625000
13,302886,3187500000,14046875000
14,302886,2875000000,14968750000
15,302886,3343750000,15296875000
16,302886,2875000000,15671875000
17,302886,3515625000,13875000000
18,302886,2765625000,16906250000
19,302886,3031250000,14640625000
20,302886,3531250000,16265625000
21,302886,2312500000,16859375000
22,302886,3031250000,13515625000
23,302886,2890625000,14843750000
24,302886,3687500000,17031250000
25,302886,2921875000,14281250000
26,302886,2734375000,15156250000
27,302886,3171875000,16640625000
28,302886,2859375000,13625000000
29,302886,3109375000,16421875000
0,393752,3250000000,21140625000
1,393752,3296875000,23875000000
2,393752,3031250000,17078125000
3,393752,4828125000,22171875000
4,393752,3421875000,19750000000
5,393752,4687500000,20093750000
6,393752,3937500000,17343750000
7,393752,4453125000,22171875000
8,393752,4187500000,20640625000
9,393752,3765625000,17515625000
10,393752,4750000000,19765625000
11,393752,4359375000,21468750000
12,393752,3250000000,16734375000
13,393752,4671875000,22359375000
14,393752,3218750000,21906250000
15,393752,4703125000,18953125000
16,393752,4140625000,21468750000
17,393752,4640625000,22109375000
18,393752,4281250000,21515625000
19,393752,4156250000,22921875000
20,393752,3078125000,21812500000
21,393752,4109375000,21515625000
22,393752,4218750000,21203125000
23,393752,4781250000,22562500000
24,393752,4390625000,21281250000
25,393752,4703125000,22078125000
26,393752,3296875000,17125000000
27,393752,4781250000,19390625000
28,393752,4796875000,23281250000
29,393752,4312500000,23156250000
0,511878,4578125000,27109375000
1,511878,6359375000,24703125000
2,511878,6515625000,25562500000
3,511878,5593750000,27218750000
4,511878,6875000000,33875000000
5,511878,5859375000,25343750000
6,511878,5937500000,26250000000
7,511878,6828125000,29359375000
8,511878,6953125000,32062500000
9,511878,5875000000,26484375000
10,511878,6546875000,23750000000
